timezone;offset;offsetDst;offsetInH;offsetDstInH
Pacific/Johnston;-36000;-36000;-10;-10
Pacific/Kiritimati;50400;50400;14;14
Pacific/Kosrae;39600;39600;11;11
Pacific/Kwajalein;43200;43200;12;12
Pacific/Majuro;43200;43200;12;12
Pacific/Marquesas;-34200;-34200;-9;-9
Pacific/Midway;-39600;-39600;-11;-11
Pacific/Nauru;43200;43200;12;12
Pacific/Niue;-39600;-39600;-11;-11
Pacific/Norfolk;39600;39600;11;11
Pacific/Noumea;39600;39600;11;11
Pacific/Pago_Pago;-39600;-39600;-11;-11
Pacific/Palau;32400;32400;9;9
Pacific/Pitcairn;-28800;-28800;-8;-8
Pacific/Ponape;39600;39600;11;11
Pacific/Port_Moresby;36000;36000;10;10
Pacific/Rarotonga;-36000;-36000;-10;-10
Pacific/Saipan;36000;36000;10;10
Pacific/Samoa;-39600;-39600;-11;-11
Pacific/Tahiti;-36000;-36000;-10;-10
Pacific/Tarawa;43200;43200;12;12
Pacific/Tongatapu;46800;46800;13;13
Pacific/Truk;36000;36000;10;10
Pacific/Wake;43200;43200;12;12
Pacific/Wallis;43200;43200;12;12
Pacific/Yap;36000;36000;10;10
Poland;3600;7200;1;2
Portugal;0;3600;0;1
ROC;28800;28800;8;8
ROK;32400;32400;9;9
Singapore;28800;28800;8;8
Turkey;7200;10800;2;3
UCT;0;0;0;0
US/Alaska;-32400;-28800;-9;-8
US/Aleutian;-36000;-32400;-10;-9
US/Arizona;-25200;-25200;-7;-7
US/Central;-21600;-18000;-6;-5
US/East-Indiana;-18000;-14400;-5;-4
US/Eastern;-18000;-14400;-5;-4
US/Hawaii;-36000;-36000;-10;-10
US/Indiana-Starke;-21600;-18000;-6;-5
US/Michigan;-18000;-14400;-5;-4
US/Mountain;-25200;-21600;-7;-6
US/Pacific;-28800;-25200;-8;-7
US/Pacific-New;-28800;-25200;-8;-7
US/Samoa;-39600;-39600;-11;-11
UTC;0;0;0;0
Universal;0;0;0;0
W-SU;10800;10800;3;3
WET;0;3600;0;1
Zulu;0;0;0;0
